name,category,address,longitude,latitude,rating
南京博物院,博物馆,南京市玄武区中山东路321号,118.7921,32.0407,
夫子庙,历史文化,南京市秦淮区贡院街152号,118.7877,32.0270,
中山陵,陵园景区,南京市玄武区石象路7号,118.8487,32.0593,
南京总统府,历史文化,南京市玄武区长江路292号,118.79222,32.04528,
江宁织造博物馆,博物馆,南京市玄武区长江路123号,118.78886,32.04430,
南京市博物馆,博物馆,南京市秦淮区朝天宫街道,118.77009,32.03757,
南京科举博物馆,博物馆,南京市秦淮区贡院街,118.78548,32.02309,
南京紫金山昆虫博物馆,博物馆,南京市玄武区钟山风景名胜区,118.83898,32.05430,
江苏省美术馆,博物馆,南京市玄武区长江路333号,118.78847,32.04620,
瞻园,历史文化,南京市秦淮区瞻园路128号,118.78002,32.02302,
朝天宫,历史文化,南京市秦淮区朝天宫街道,118.77014,32.03657,
明孝陵,陵园景区,南京市玄武区钟山风景名胜区,118.83468,32.06208,
美龄宫,陵园景区,南京市玄武区钟山风景名胜区,118.84147,32.04768,
南京航空烈士公墓,陵园景区,南京市玄武区王家湾,118.84308,32.09144,
灵谷寺,寺庙宗教,南京市玄武区钟山风景名胜区灵谷景区内,118.86287,32.05768,
鸡鸣寺,寺庙宗教,南京市玄武区鸡鸣寺路1号,118.79003,32.06305,
栖霞寺,寺庙宗教,南京市栖霞区栖霞街88号,118.95284,32.15374,
静海寺,寺庙宗教,南京市鼓楼区建宁路,118.73947,32.09441,
天妃宫,寺庙宗教,南京市鼓楼区建宁路,118.74107,32.09430,
玄武湖公园,城市公园,南京市玄武区玄武湖公园,118.79506,32.07492,
白鹭洲公园,城市公园,南京市秦淮区白鹭洲公园,118.79000,32.01948,
清凉山公园,城市公园,南京市鼓楼区清凉山,118.75546,32.05238,
江苏·福冈友好樱花园,城市公园,南京市玄武区钟山风景名胜区,118.83723,32.05100,
栖霞山,自然景区,南京市栖霞区栖霞山,118.96320,32.15710,
紫金山,自然景区,南京市玄武区紫金山,118.80000,32.08333,
狮子山,自然景区,南京市鼓楼区狮子山,118.74310,32.09660,
红山森林动物园,自然景区,南京市鼓楼区和燕路168号,118.79668,32.09395,
江心洲鼋头石湿地风景区,自然景区,南京市建邺区江心洲,118.66348,31.98554,
中华门瓮城,古迹遗址,南京市秦淮区中华门城堡,118.77649,32.01469,
阅江楼,古迹遗址,南京市鼓楼区狮子山阅江楼景区,118.74132,32.09615,
南京长江大桥,古迹遗址,南京市鼓楼区宝塔桥,118.73853,32.11560,
大报恩寺遗址景区,古迹遗址,南京市秦淮区雨花路1号,118.77804,32.01117,
神功圣德碑,古迹遗址,南京市玄武区钟山风景名胜区明孝陵景区,118.83823,32.04882,
下马坊遗址公园,古迹遗址,南京市玄武区中山门外,118.84149,32.04454,
心远楼,古迹遗址,南京市秦淮区白鹭洲公园内,118.78916,32.01925,
仪凤门,古迹遗址,南京市鼓楼区建宁路,118.74237,32.09368,
正觉寺丛葬地,古迹遗址,南京市秦淮区武定门,118.79053,32.01601,
老门东历史文化街区,文化商业,南京市秦淮区剪子巷和箍桶巷交汇处,118.78230,32.01354,
德云社南京分社,文化商业,南京市秦淮区箍桶巷128号,118.78237,32.01323,
甘熙故居,历史文化,南京市秦淮区南捕厅,118.77661,32.02787,
